filename,inference_size,BP-1,BP-2,BP-3,BP-5,EPE,D1,inference_time_ms,peak_memory_mb
KITTI15-000000_10.png,375x1242,4.7496,1.4060,0.8609,0.5586,0.4237,0.8609,5465.7290,4588.0674
KITTI15-000001_10.png,375x1242,8.7101,1.3669,0.7502,0.5104,0.5220,0.7502,407.3670,1349.6919
KITTI15-000002_10.png,375x1242,15.0080,2.0541,0.9743,0.5205,0.6131,0.9743,519.3138,1349.6919
KITTI15-000003_10.png,375x1242,13.2336,4.3485,3.1287,2.2007,0.8628,3.1287,358.0582,1349.6919
KITTI15-000004_10.png,375x1242,9.6993,2.8441,1.6349,0.7340,0.5214,1.6349,501.7533,1349.6919
KITTI15-000005_10.png,375x1242,9.4091,2.5140,1.2720,0.6608,0.5294,1.2720,323.7617,1349.6919
KITTI15-000006_10.png,375x1242,22.6596,7.3541,2.9140,1.0222,0.8176,2.9140,407.5179,1349.6919
KITTI15-000007_10.png,375x1242,8.1405,1.6799,1.0105,0.5779,0.4655,1.0105,404.0556,1349.6919
KITTI15-000008_10.png,375x1242,7.3294,2.1819,1.3856,1.0782,0.4983,1.3856,532.9301,1349.6919
KITTI15-000009_10.png,375x1242,4.8366,0.9459,0.6104,0.3490,0.4266,0.6104,381.5124,1349.6919
KITTI15-000010_10.png,375x1242,6.5393,0.7308,0.3833,0.2400,0.3998,0.3833,519.0673,1349.6919
KITTI15-000011_10.png,375x1242,5.1990,0.6261,0.3469,0.2211,0.4024,0.3469,352.4160,1349.6919
KITTI15-000012_10.png,375x1242,5.2641,0.7829,0.5048,0.3335,0.4105,0.5048,506.8393,1349.6919
KITTI15-000013_10.png,375x1242,4.0366,1.3267,0.9228,0.5404,0.3954,0.9228,352.9646,1349.6919
KITTI15-000014_10.png,375x1242,3.9871,0.9127,0.6134,0.3098,0.3422,0.6134,449.2228,1349.6919
KITTI15-000015_10.png,375x1242,6.3992,0.8316,0.4229,0.1781,0.3706,0.4229,334.6541,1349.6919
KITTI15-000016_10.png,375x1242,5.8312,0.6588,0.3811,0.1447,0.3645,0.3811,551.0147,1349.6919
KITTI15-000017_10.png,375x1242,5.8998,1.1200,0.7060,0.3327,0.3885,0.7060,350.1546,1349.6919
KITTI15-000018_10.png,375x1242,20.3383,6.9548,4.4901,3.4432,1.0925,4.4901,480.5212,1349.6919
KITTI15-000019_10.png,375x1242,18.4393,5.7532,3.9811,3.4036,1.0990,3.9811,321.8477,1349.6919
KITTI15-000020_10.png,375x1242,21.6930,6.1959,2.8471,1.7600,0.8748,2.8471,485.4853,1349.6919
KITTI15-000021_10.png,375x1242,15.1288,3.9803,3.1369,2.4710,0.8999,3.1369,441.9842,1349.6919
KITTI15-000022_10.png,375x1242,8.2731,1.5387,1.1480,0.9548,0.6388,1.1480,397.9030,1349.6919
KITTI15-000023_10.png,375x1242,25.4273,3.5590,2.5000,1.4315,0.8240,2.5000,450.5873,1349.6919
KITTI15-000024_10.png,375x1242,7.4853,2.7987,1.9385,1.1778,0.5238,1.9385,435.8130,1349.6919
KITTI15-000025_10.png,375x1242,9.2827,4.6423,3.3434,1.9112,0.5753,3.3434,498.2305,1349.6919
KITTI15-000026_10.png,375x1242,7.2288,2.2068,1.4709,0.8289,0.5137,1.4709,384.5694,1349.6919
KITTI15-000027_10.png,375x1242,7.2490,2.4947,1.8081,1.2057,0.4893,1.8081,546.9575,1349.6919
KITTI15-000028_10.png,375x1242,10.0344,2.8939,1.7662,1.1179,0.8559,1.7662,372.6764,1349.6919
KITTI15-000029_10.png,375x1242,9.5402,3.9395,2.8478,2.1420,0.6709,2.8478,527.9741,1349.6919
KITTI15-000030_10.png,375x1242,11.0875,2.9357,1.7100,1.1807,0.6559,1.7100,366.5388,1349.6919
KITTI15-000031_10.png,375x1242,10.1497,2.7554,1.7205,1.1911,0.6036,1.7205,445.1504,1349.6919
KITTI15-000032_10.png,375x1242,12.9148,2.8662,1.5829,0.9889,0.6598,1.5829,410.6851,1349.6919
KITTI15-000033_10.png,375x1242,7.8331,2.6085,1.6287,1.0710,0.5005,1.6287,559.5758,1349.6919
KITTI15-000034_10.png,375x1242,9.0629,2.3349,1.2578,0.6473,0.4993,1.2578,355.2477,1349.6919
KITTI15-000035_10.png,375x1242,11.1218,3.2278,1.4611,0.6565,0.5147,1.4611,515.5962,1349.6919
KITTI15-000036_10.png,375x1242,12.2280,3.0777,1.6105,0.8375,0.5757,1.6105,366.8766,1349.6919
KITTI15-000037_10.png,375x1242,12.4963,2.5313,1.1393,0.4024,0.5438,1.1393,645.6444,1349.6919
KITTI15-000038_10.png,375x1242,12.5764,1.4147,0.4490,0.2022,0.5123,0.4490,373.9953,1349.6919
KITTI15-000039_10.png,375x1242,11.4456,2.3016,0.8390,0.2521,0.4828,0.8390,528.5463,1349.6919
KITTI15-000040_10.png,375x1242,7.3621,1.9993,0.9895,0.3555,0.4367,0.9895,320.3957,1349.6919
KITTI15-000041_10.png,375x1242,11.3471,3.1907,1.6901,0.9150,0.5729,1.6901,482.3458,1349.6919
KITTI15-000042_10.png,375x1242,9.4310,3.8061,2.5197,1.4629,0.7368,2.5197,329.5832,1349.6919
KITTI15-000043_10.png,375x1242,6.3638,1.7331,1.1836,0.6495,0.4169,1.1836,377.3568,1349.6919
KITTI15-000044_10.png,375x1242,5.4795,0.9070,0.5360,0.3148,0.3968,0.5360,406.8427,1349.6919
KITTI15-000045_10.png,375x1242,4.8086,1.0743,0.5674,0.2578,0.3545,0.5674,481.4827,1349.6919
KITTI15-000046_10.png,375x1242,5.0301,0.8517,0.4849,0.2778,0.3683,0.4849,374.8708,1349.6919
KITTI15-000047_10.png,375x1242,6.4333,0.8519,0.4702,0.2656,0.4455,0.4702,488.3814,1349.6919
KITTI15-000048_10.png,375x1242,7.5141,1.7486,1.0615,0.7298,0.5113,1.0615,364.5113,1349.6919
KITTI15-000049_10.png,375x1242,27.6894,9.2197,2.9023,1.1699,0.8696,2.9023,460.0391,1349.6919
KITTI15-000050_10.png,375x1242,6.3220,1.2707,0.8655,0.6396,0.4315,0.8655,327.3535,1349.6919
KITTI15-000051_10.png,375x1242,10.4923,1.0978,0.6271,0.3360,0.5038,0.6271,486.4843,1349.6919
KITTI15-000052_10.png,375x1242,6.2290,0.8291,0.5739,0.3063,0.4369,0.5739,357.0580,1349.6919
KITTI15-000053_10.png,375x1242,5.3583,0.9170,0.5647,0.3323,0.3769,0.5647,536.4308,1349.6919
KITTI15-000054_10.png,375x1242,5.2533,0.5956,0.3342,0.1729,0.3743,0.3342,335.4745,1349.6919
KITTI15-000055_10.png,375x1242,7.3195,1.1849,0.5471,0.2715,0.4405,0.5471,539.1822,1349.6919
KITTI15-000056_10.png,375x1242,6.3677,1.3941,0.4704,0.2599,0.4598,0.4704,353.7788,1349.6919
KITTI15-000057_10.png,375x1242,10.7734,1.6415,0.7396,0.3303,0.5372,0.7396,517.1123,1349.6919
KITTI15-000058_10.png,375x1242,34.9554,20.2506,6.8928,0.8135,1.1505,6.8928,358.9113,1349.6919
KITTI15-000059_10.png,375x1242,9.8447,2.2849,1.2226,0.5831,0.5331,1.2226,491.7583,1349.6919
KITTI15-000060_10.png,375x1242,15.5685,5.4080,3.7225,2.4883,0.8312,3.7225,338.3932,1349.6919
KITTI15-000061_10.png,375x1242,29.1066,11.4019,6.4080,2.4558,1.0113,6.4080,622.4141,1349.6919
KITTI15-000062_10.png,375x1242,16.7605,7.4774,4.2761,1.9487,0.7426,4.2761,367.5468,1349.6919
KITTI15-000063_10.png,375x1242,16.2071,6.3016,3.8167,2.2892,0.7955,3.8167,449.2743,1349.6919
KITTI15-000064_10.png,375x1242,22.5090,6.9344,3.7973,1.7399,0.8767,3.7973,337.5797,1349.6919
KITTI15-000065_10.png,375x1242,19.7246,9.3236,5.8787,3.4678,0.9888,5.8787,506.5622,1349.6919
KITTI15-000066_10.png,375x1242,17.7883,6.9370,4.1456,2.0129,0.8028,4.1456,356.4053,1349.6919
KITTI15-000067_10.png,375x1242,25.0611,9.9816,6.4091,3.7058,1.0696,6.4091,500.3059,1349.6919
KITTI15-000068_10.png,375x1242,21.7773,10.8512,7.1417,3.9433,1.0324,7.1417,340.1423,1349.6919
KITTI15-000069_10.png,375x1242,19.5333,8.2297,5.1902,2.7343,0.8435,5.1902,426.6927,1349.6919
KITTI15-000070_10.png,375x1242,11.8644,2.3864,1.1662,0.7162,0.5684,1.1662,354.8884,1349.6919
KITTI15-000071_10.png,375x1242,6.3643,1.1621,0.6471,0.3544,0.3957,0.6471,474.3054,1349.6919
KITTI15-000072_10.png,375x1242,10.0079,3.6193,2.2796,1.4424,0.6585,2.2796,320.7135,1349.6919
KITTI15-000073_10.png,375x1242,5.4423,1.0239,0.4533,0.2136,0.4213,0.4533,487.5798,1349.6919
KITTI15-000074_10.png,375x1242,7.5624,1.2151,0.6499,0.3490,0.4962,0.6499,322.8605,1349.6919
KITTI15-000075_10.png,375x1242,8.8445,1.1015,0.5545,0.2685,0.5163,0.5545,480.6955,1349.6919
KITTI15-000076_10.png,375x1242,8.5320,0.7052,0.3551,0.2182,0.4171,0.3551,320.8334,1349.6919
KITTI15-000077_10.png,375x1242,20.5017,5.6478,0.9870,0.2203,0.6608,0.9870,453.3012,1349.6919
KITTI15-000078_10.png,375x1242,14.1202,1.4787,0.6357,0.3021,0.5724,0.6357,322.5248,1349.6919
KITTI15-000079_10.png,375x1242,16.8815,2.4534,0.6931,0.2538,0.5669,0.6931,510.3817,1349.6919
KITTI15-000080_10.png,375x1242,5.9415,1.7681,1.0985,0.7251,0.4641,1.0985,333.6654,1349.6919
KITTI15-000081_10.png,375x1242,7.8741,1.6870,0.9831,0.5481,0.4590,0.9831,468.7696,1349.6919
KITTI15-000082_10.png,375x1242,8.9322,1.3345,0.7539,0.5240,0.5097,0.7539,497.7117,1349.6919
KITTI15-000083_10.png,375x1242,12.0988,0.8282,0.4248,0.1717,0.5726,0.4248,440.6571,1349.6919
KITTI15-000084_10.png,375x1242,13.2301,4.1334,2.4466,1.1266,0.6402,2.4466,553.3257,1349.6919
KITTI15-000085_10.png,375x1242,6.1250,0.4992,0.1876,0.1095,0.3844,0.1876,343.4668,1349.6919
KITTI15-000086_10.png,375x1242,14.0493,2.0560,0.5675,0.1871,0.5234,0.5675,443.3556,1349.6919
KITTI15-000087_10.png,375x1242,30.5175,4.9301,2.0982,0.9379,0.8662,2.0982,349.9861,1349.6919
KITTI15-000088_10.png,375x1242,11.3207,2.4835,1.2178,0.7514,0.5698,1.2178,483.7201,1349.6919
KITTI15-000089_10.png,375x1242,7.8761,1.2244,0.4783,0.2069,0.4461,0.4783,320.7440,1349.6919
KITTI15-000090_10.png,375x1242,16.0013,6.5975,5.2428,2.7682,0.9125,5.2428,506.5806,1349.6919
KITTI15-000091_10.png,375x1242,42.0772,34.7557,27.3038,0.2744,1.6353,27.3038,535.8779,1349.6919
KITTI15-000092_10.png,375x1242,6.9872,1.0893,0.4825,0.1051,0.4187,0.4825,383.2843,1349.6919
KITTI15-000093_10.png,375x1242,30.5376,8.3726,1.3102,0.7469,0.8851,1.3102,463.2943,1349.6919
KITTI15-000094_10.png,375x1242,7.6458,0.9145,0.4194,0.2019,0.4040,0.4194,334.8758,1349.6919
KITTI15-000095_10.png,375x1242,17.8739,4.7552,1.3885,0.3146,0.6248,1.3885,486.3446,1349.6919
KITTI15-000096_10.png,375x1242,7.2392,0.9674,0.2930,0.0694,0.4122,0.2930,337.2579,1349.6919
KITTI15-000097_10.png,375x1242,8.1542,1.1363,0.4397,0.1284,0.4282,0.4397,507.1397,1349.6919
KITTI15-000098_10.png,375x1242,9.7845,1.2042,0.6950,0.4358,0.5563,0.6950,517.6110,1349.6919
KITTI15-000099_10.png,375x1242,7.0137,1.3923,0.4847,0.2713,0.3874,0.4847,323.3092,1349.6919
KITTI15-000100_10.png,375x1242,9.6021,1.4388,0.5094,0.2494,0.4865,0.5094,424.8767,1349.6919
KITTI15-000101_10.png,375x1242,6.8359,1.0850,0.3968,0.1500,0.4027,0.3968,482.4910,1349.6919
KITTI15-000102_10.png,375x1242,7.8813,0.9957,0.5297,0.2891,0.4749,0.5297,399.4224,1349.6919
